Date;Price
2014-11-17;540000
2014-11-18;540000
2014-11-19;540000
2014-11-20;539000
2014-11-21;539000
2014-11-24;542000
2014-11-25;540000
2014-11-26;540000
2014-11-27;539000
2014-11-28;538000
2014-12-01;536000
2014-12-02;543000
2014-12-03;542000
2014-12-04;544000
2014-12-05;544000
2014-12-08;541000
2014-12-09;540000
2014-12-10;551000
2014-12-11;551000
2014-12-11;551000
2014-12-12;551000
2014-12-15;552000
2014-12-16;549000
2014-12-17;551000
2014-12-18;550000
2014-12-19;547000
2014-12-22;545000
2014-12-23;541000
2014-12-24;541000
2014-12-29;543000
2014-12-30;540000
2014-12-31;549000
2015-01-02;545000
2015-01-05;545000
2015-01-06;550000
2015-01-07;557000
2015-01-08;558000
2015-01-09;557000
2015-01-12;563000
2015-01-13;561000
2015-01-14;563000
2015-01-15;561000
2015-01-16;573000
2015-01-17;581000
2015-01-17;581000
2015-01-19;580000
2015-01-20;580000
2015-01-21;584000
2015-01-22;582000
2015-01-23;581000
2015-01-24;580000
2015-01-26;579000
2015-01-27;575000
2015-01-28;580000
2015-01-29;578000
2015-01-30;570000
2015-01-31;583000
2015-02-02;581000
2015-02-03;578000
2015-02-04;574000
2015-02-05;577000
2015-02-06;576000
2015-02-07;563000
2015-02-09;565000
2015-02-10;566000
2015-02-11;563000
2015-02-11;568000
2015-02-12;563000
2015-02-13;566000
2015-02-14;566000
2015-02-16;567000
2015-02-17;567000
2015-02-18;564000
2015-02-20;564000
2015-02-21;561000
2015-02-23;564000
2015-02-24;563000
2015-02-25;564000
2015-02-26;565000
2015-02-27;566000
2015-02-28;567000
2015-03-02;567000
2015-03-02;571000
2015-03-03;569000
2015-03-04;568000
2015-03-05;568000
2015-03-06;568000
2015-03-09;564000
2015-03-10;564000
2015-03-11;563000
2015-03-12;563000
2015-03-13;563000
2015-03-16;562000
2015-03-17;562000
2015-03-18;561000
2015-03-19;562000
2015-03-20;562000
2015-03-23;563000
2015-03-24;564000
2015-03-25;563000
2015-03-26;563000
2015-03-26;568000
2015-03-27;569000
2015-03-28;568000
2015-03-30;568000
2015-03-31;566000
2015-04-01;565000
2015-04-02;570000
2015-04-04;568000
2015-04-06;574000
2015-04-07;572000
2015-04-08;571000
2015-04-09;570000
2015-04-10;568000
2015-04-13;570000
2015-04-14;568000
2015-04-15;567000
2015-04-16;570000
2015-04-17;570000
2015-04-17;566000
2015-04-18;567000
2015-04-20;567000
2015-04-21;566000
2015-04-22;568000
2015-04-23;565000
2015-04-24;567000
2015-04-25;563000
2015-04-27;565000
2015-04-28;569000
2015-04-29;574000
2015-04-30;571000
2015-04-30;571000
2015-05-02;562000
2015-05-04;565000
2015-05-05;567000
2015-05-06;568000
2015-05-07;569000
2015-05-08;567000
2015-05-09;567000
2015-05-11;571000
2015-05-12;567000
2015-05-13;567000
2015-05-13;572000
2015-05-14;581000
2015-05-15;579000
2015-05-16;582000
2015-05-18;578000
2015-05-19;579000
2015-05-20;577000
2015-05-21;577000
2015-05-22;575000
2015-05-23;575000
2015-05-25;573000
2015-05-26;575000
2015-05-27;570000
2015-05-28;572000
